,date,total_conversions,total_impressions,total_cost,total_conversion_rev,rev_per_1000_impression,cost_per_1000_impression,impressions_1_conversion,referrals_1_conversion
61,2018-01-01,62,1824155,2584.38000000013,3751.0,2.056294558302337,1.4167546069276624,29421.854838709678,277.3709677419355
62,2018-01-02,55,1517352,2238.4599999999996,3327.5,2.1929651129072223,1.4752410778777763,27588.21818181818,320.90909090909093
63,2018-01-03,45,1287606,1845.3899999999655,2722.5,2.114389028942083,1.4331946263064677,28613.466666666667,330.26666666666665
64,2018-01-04,48,1156485,1553.679999999965,2904.0,2.5110572121557997,1.3434501960682284,24093.4375,288.5833333333333
65,2018-01-05,59,1613726,2109.839999999975,3569.5,2.211961634131197,1.3074338518434823,27351.28813559322,344.135593220339
66,2018-01-06,70,1675305,2211.6399999999862,4235.0,2.5278979051575683,1.320141705540177,23932.928571428572,286.9142857142857
67,2018-01-07,66,1825845,2384.7800000000116,3993.0,2.186932625715764,1.306124013812789,27664.31818181818,352.72727272727275
68,2018-01-08,66,1569114,2347.310000000007,3993.0,2.544748182732421,1.4959461199122608,23774.454545454544,316.54545454545456
69,2018-01-09,97,2356222,3358.110000000104,5868.5,2.4906396765669787,1.4252095091210013,24290.94845360825,298.8659793814433
70,2018-01-10,92,2603018,3763.710000000131,5566.0,2.1382871728124813,1.4459024102023617,28293.67391304348,291.30434782608694
71,2018-01-11,54,1570685,2295.439999999988,3267.0,2.0799842107106135,1.4614260656974427,29086.75925925926,312.51851851851853
72,2018-01-12,71,2133333,3205.3400000000256,4295.5,2.0135159396118656,1.5025033597661621,30046.943661971833,326.056338028169
73,2018-01-13,103,2820777,3783.8500000000563,6231.5,2.20914308362554,1.341421175796618,27386.18446601942,353.00970873786406
74,2018-01-14,92,2582410,3546.610000000072,5566.0,2.1553510093284958,1.37337216011403,28069.67391304348,314.57608695652175
75,2018-01-15,106,3183469,4194.770000000093,6413.0,2.0144691215777506,1.3176726395011522,30032.72641509434,316.33962264150944
76,2018-01-16,90,3012818,4316.050000000109,5445.0,1.8072781030915244,1.4325624714138423,33475.75555555556,353.25555555555553
77,2018-01-17,111,3400598,4958.030000000112,6715.5,1.9747997264010624,1.457987683342786,30636.018018018018,344.1801801801802
78,2018-01-18,121,3302383,4947.0400000001555,7320.5,2.216732583713034,1.498021277362485,27292.421487603307,305.39669421487605
79,2018-01-19,112,2608300,4097.9300000001185,6776.0,2.59786067553579,1.5711114519035843,23288.39285714286,235.9375
80,2018-01-20,89,2298824,3117.1500000000856,5384.5,2.3422845768097083,1.3559759250817311,25829.483146067414,292.7977528089888
81,2018-01-21,80,2339480,3266.900000000085,4840.0,2.068835809667106,1.3964214269838107,29243.5,313.4
82,2018-01-22,101,3233228,4663.920000000117,6110.5,1.8899069289267567,1.4424964772048605,32012.158415841583,377.34653465346537
83,2018-01-23,163,3775304,5681.0700000001825,9861.5,2.6121075282944104,1.5047980242121384,23161.374233128834,321.6134969325153
84,2018-01-24,119,2754389,4035.710000000125,7199.5,2.6138283299853433,1.4651924619217276,23146.126050420167,286.5378151260504
85,2018-01-25,104,2686106,4096.650000000135,6292.0,2.342424312368909,1.52512596301119,25827.94230769231,346.47115384615387
86,2018-01-26,91,2395069,3345.7200000001203,5505.5,2.298681165344297,1.396920088732358,26319.43956043956,333.8131868131868
87,2018-01-27,100,2313272,3010.3200000001243,6050.0,2.6153431157252585,1.301325568286014,23132.72,321.43
88,2018-01-28,105,2666052,3522.080000000118,6352.5,2.382736720814148,1.3210845099795945,25390.97142857143,300.18095238095236
89,2018-01-29,99,3209172,4547.280000000124,5989.5,1.8663692690824922,1.41696362800128,32415.878787878788,405.73737373737373
90,2018-01-30,119,3958899,5397.100000000156,7199.5,1.8185611706689158,1.363283074410374,33268.05882352941,377.43697478991595
91,2018-01-31,118,4166122,6043.670000000159,7670.0,1.8410406608351844,1.4506704316388621,35306.1186440678,420.1694915254237
